question,answer
What is the capital of France?,Paris
What is 2 + 2?,4
Who wrote 'Hamlet'?,William Shakespeare
What is the boiling point of water in Celsius?,100
What planet is known as the Red Planet?,Mars
Who painted the Mona Lisa?,Leonardo da Vinci
What is the largest ocean on Earth?,Pacific Ocean
What is the smallest prime number?,2
Who developed the theory of relativity?,Albert Einstein
What is the chemical symbol for gold?,Au
What is the square root of 64?,8
What year did the Titanic sink?,1912
What is the hardest natural substance on Earth?,Diamond
Who is known as the Father of Computers?,Charles Babbage
What is the longest river in the world?,Nile
Who wrote 'Pride and Prejudice'?,Jane Austen
What is the main ingredient in guacamole?,Avocado
What planet is closest to the Sun?,Mercury
What is the largest planet in our solar system?,Jupiter
Who discovered penicillin?,Alexander Fleming
What is the capital of Japan?,Tokyo
What is the currency of the United Kingdom?,Pound Sterling
What is the tallest mountain in the world?,Mount Everest
Who was the first President of the United States?,George Washington
What is the primary language spoken in Brazil?,Portuguese
What is the capital of Canada?,Ottawa
What is the chemical formula for water?,H2O
Who painted the ceiling of the Sistine Chapel?,Michelangelo
What is the speed of light in a vacuum?,299792458 m/s
What is the most abundant gas in the Earth's atmosphere?,Nitrogen
What is the main ingredient in traditional sushi?,Rice
Who wrote 'To Kill a Mockingbird'?,Harper Lee
What is the capital of Australia?,Canberra
What is the largest desert in the world?,Sahara
What is the most spoken language in the world?,Mandarin Chinese
What is the main ingredient in a Margherita pizza?,Tomato
Who discovered electricity?,Benjamin Franklin
What is the capital of Germany?,Berlin
What is the chemical symbol for silver?,Ag
Who wrote 'The Catcher in the Rye'?,J.D. Salinger
What is the smallest country in the world?,Vatican City
What is the longest bone in the human body?,Femur
Who invented the telephone?,Alexander Graham Bell
What is the capital of Italy?,Rome
What is the chemical symbol for sodium?,Na
Who painted 'Starry Night'?,Vincent van Gogh
What is the main ingredient in hummus?,Chickpeas
What is the capital of Russia?,Moscow
What is the most widely spoken language in South America?,Spanish
What is the chemical formula for carbon dioxide?,CO2
What is the capital of Spain?,Madrid
What is the freezing point of water in Fahrenheit?,32
Who wrote '1984'?,George Orwell
What is the largest mammal in the world?,Blue Whale
What element has the atomic number 1?,Hydrogen
Who painted 'The Persistence of Memory'?,Salvador Dalí
What is the smallest continent by land area?,Australia
What is the powerhouse of the cell?,Mitochondria
Who formulated the laws of motion?,Isaac Newton
What is the chemical symbol for potassium?,K
What is the cube root of 27?,3
What year did World War II end?,1945
What is the second most abundant gas in the Earth's atmosphere?,Oxygen
Who is the author of 'The Great Gatsby'?,F. Scott Fitzgerald
What is the capital of Egypt?,Cairo
What is the primary ingredient in a Caesar salad?,Romaine Lettuce
What planet is known as the Earth's twin?,Venus
What is the largest moon of Saturn?,Titan
Who discovered the circulation of blood?,William Harvey
What is the capital of South Korea?,Seoul
What is the currency of Japan?,Yen
What is the second tallest mountain in the world?,K2
Who was the 16th President of the United States?,Abraham Lincoln
What is the primary language spoken in Argentina?,Spanish
What is the capital of Mexico?,Mexico City
What is the chemical formula for methane?,CH4
Who painted 'The Birth of Venus'?,Sandro Botticelli
What is the speed of sound in air?,343 m/s
What is the most abundant element in the universe?,Hydrogen
What is the main ingredient in borscht?,Beetroot
Who wrote 'Moby-Dick'?,Herman Melville
What is the capital of India?,New Delhi
What is the largest landlocked country in the world?,Kazakhstan
What is the second most spoken language in the world?,Spanish
What is the main ingredient in a BLT sandwich?,Bacon
Who discovered the law of gravitation?,Isaac Newton
What is the capital of Brazil?,Brasília
What is the chemical symbol for iron?,Fe
Who wrote 'Jane Eyre'?,Charlotte Brontë
What is the longest river in South America?,Amazon River
What is the smallest bone in the human body?,Stapes
Who invented the World Wide Web?,Tim Berners-Lee
What is the capital of Greece?,Athens
What is the chemical symbol for calcium?,Ca
Who painted 'Guernica'?,Pablo Picasso
What is the main ingredient in moussaka?,Eggplant
What is the capital of China?,Beijing
What is the most widely spoken language in Africa?,Swahili
What is the chemical formula for table salt?,NaCl
What is the capital of Sweden?,Stockholm
What is the main ingredient in tofu?,Soybeans
Who discovered the structure of DNA?,James Watson and Francis Crick
What is the capital of Norway?,Oslo
What is the smallest planet in our solar system?,Mercury
What is the main ingredient in risotto?,Rice
Who wrote 'The Odyssey'?,Homer
What is the chemical symbol for chlorine?,Cl
What is the tallest waterfall in the world?,Angel Falls
Who discovered radioactivity?,Henri Becquerel
What is the capital of Finland?,Helsinki
What is the main ingredient in gazpacho?,Tomato
Who painted 'The Scream'?,Edvard Munch
What is the chemical symbol for helium?,He
What is the largest island in the world?,Greenland
Who wrote 'The Divine Comedy'?,Dante Alighieri
What is the capital of Portugal?,Lisbon
What is the main ingredient in miso soup?,Miso Paste
Who discovered the electron?,J.J. Thomson
What is the capital of Denmark?,Copenhagen
What is the main ingredient in ratatouille?,Eggplant
Who wrote 'Frankenstein'?,Mary Shelley
What is the chemical symbol for neon?,Ne
What is the largest lake in the world by area?,Caspian Sea
Who wrote 'The Canterbury Tales'?,Geoffrey Chaucer
What is the capital of the Netherlands?,Amsterdam
What is the main ingredient in paella?,Rice
Who discovered the neutron?,James Chadwick
What is the capital of Belgium?,Brussels
What is the main ingredient in tabbouleh?,Parsley
Who wrote 'Wuthering Heights'?,Emily Brontë
What is the chemical symbol for zinc?,Zn
What is the tallest building in the world?,Burj Khalifa
Who discovered insulin?,Frederick Banting and Charles Best
What is the capital of Austria?,Vienna
What is the main ingredient in a croissant?,Butter
Who wrote 'Brave New World'?,Aldous Huxley
What is the chemical symbol for copper?,Cu
What is the largest canyon in the world?,Grand Canyon
Who discovered the polio vaccine?,Jonas Salk
What is the capital of Turkey?,Ankara
What is the main ingredient in a Greek salad?,Cucumber
Who wrote 'The Hobbit'?,J.R.R. Tolkien
What is the chemical symbol for magnesium?,Mg
What is the largest reef system in the world?,Great Barrier Reef
Who wrote 'Les Misérables'?,Victor Hugo
What is the capital of Switzerland?,Bern
What is the main ingredient in pho?,Rice Noodles
Who discovered the laws of inheritance?,Gregor Mendel
What is the capital of Poland?,Warsaw
What is the main ingredient in a quiche?,Eggs
Who wrote 'War and Peace'?,Leo Tolstoy
What is the chemical symbol for lead?,Pb
What is the largest volcano in the world?,Mauna Loa
Who discovered the cell?,Robert Hooke
What is the capital of Thailand?,Bangkok
What is the chemical symbol for aluminum?,Al
Who wrote 'The Catch-22'?,Joseph Heller
What is the largest rainforest in the world?,Amazon Rainforest
Who invented the light bulb?,Thomas Edison
What is the capital of South Africa?,Pretoria
What is the main ingredient in a Margarita cocktail?,Tequila
Who wrote 'Crime and Punishment'?,Fyodor Dostoevsky
What is the chemical symbol for mercury?,Hg
What is the longest wall in the world?,Great Wall of China
Who discovered penicillin?,Alexander Fleming
What is the capital of Saudi Arabia?,Riyadh
What is the main ingredient in tempura?,Batter
Who wrote 'The Picture of Dorian Gray'?,Oscar Wilde
What is the chemical symbol for nitrogen?,N
What is the deepest ocean in the world?,Pacific Ocean
Who discovered the structure of DNA?,James Watson and Francis Crick
What is the capital of Singapore?,Singapore
What is the main ingredient in coleslaw?,Cabbage
Who wrote 'One Hundred Years of Solitude'?,Gabriel Garcia Marquez
What is the chemical symbol for oxygen?,O
What is the largest glacier in the world?,Lambert Glacier
Who discovered the electron?,J.J. Thomson
What is the capital of Qatar?,Doha
What is the main ingredient in macarons?,Almond Flour
Who wrote 'The Brothers Karamazov'?,Fyodor Dostoevsky
What is the chemical symbol for sulfur?,S
What is the largest archipelago in the world?,Indonesia
Who discovered the neutron?,James Chadwick
What is the capital of the Philippines?,Manila
What is the main ingredient in gazpacho?,Tomato
Who wrote 'Ulysses'?,James Joyce
What is the chemical symbol for phosphorus?,P
What is the largest peninsula in the world?,Arabian Peninsula
Who discovered radioactivity?,Henri Becquerel
What is the capital of New Zealand?,Wellington
What is the main ingredient in sushi?,Rice
Who wrote 'The Sound and the Fury'?,William Faulkner
What is the chemical symbol for carbon?,C
What is the largest freshwater lake in the world?,Lake Superior
Who discovered the laws of inheritance?,Gregor Mendel
What is the capital of Myanmar?,Naypyidaw
What is the main ingredient in borscht?,Beetroot
Who wrote 'The Old Man and the Sea'?,Ernest Hemingway
What is the chemical symbol for silicon?,Si
What is the largest desert in Africa?,Sahara Desert
Who discovered the polio vaccine?,Jonas Salk
What is the capital of Malaysia?,Kuala Lumpur
What is the main ingredient in sauerkraut?,Cabbage
Who wrote 'Don Quixote'?,Miguel de Cervantes
What is the chemical symbol for hydrogen?,H
What is the largest country in Africa?,Algeria
Who discovered the circulation of blood?,William Harvey
What is the capital of Lebanon?,Beirut
What is the main ingredient in moussaka?,Eggplant
Who wrote 'The Grapes of Wrath'?,John Steinbeck
What is the chemical symbol for helium?,He
What is the largest country in South America?,Brazil
Who discovered insulin?,Frederick Banting and Charles Best
What is the capital of Kuwait?,Kuwait City
What is the main ingredient in pho?,Rice Noodles
Who wrote 'The Scarlet Letter'?,Nathaniel Hawthorne
What is the chemical symbol for neon?,Ne
What is the largest river in Asia?,Yangtze River
Who discovered the cell?,Robert Hooke
What is the capital of Jordan?,Amman
What is the main ingredient in guacamole?,Avocado
Who wrote 'The Odyssey'?,Homer
What is the chemical symbol for argon?,Ar
What is the largest island in Europe?,Great Britain
Who discovered the laws of motion?,Isaac Newton
What is the capital of Israel?,Jerusalem
What is the main ingredient in hummus?,Chickpeas
Who wrote 'The Iliad'?,Homer
What is the chemical symbol for sodium?,Na
What is the largest island in Asia?,Borneo
Who discovered the law of gravitation?,Isaac Newton
What is the capital of Iraq?,Baghdad
What is the main ingredient in risotto?,Rice
